Index,Experiment,Replicate,Position,Trap,CellType,Status
241,vip_Amp,EXP2,xy22,trap6,VIP,Alive
242,vip_Amp,EXP2,xy14,trap1,VIP,Alive
243,vip_Amp,EXP2,xy15,trap3,VIP,Alive
244,vip_Amp,EXP2,xy40,trap1,CFP,Alive
245,vip_Amp,EXP2,xy24,trap6,VIP,Alive
246,vip_Amp,EXP2,xy25,trap2,VIP,Alive
247,vip_Amp,EXP2,xy24,trap3,VIP,Alive
248,vip_Amp,EXP2,xy18,trap5,VIP,Killed
249,vip_Amp,EXP2,xy04,trap1,VIP,Alive
250,vip_Amp,EXP2,xy10,trap1,CFP,Alive
