Index,Experiment,Replicate,Position,Trap,CellType
191,VIP_Cd,EXP2,xy12,trap6,VIP
192,VIP_Cd,EXP2,xy12,trap7,CFP
193,VIP_Cd,EXP2,xy12,trap8,VIP
194,VIP_Cd,EXP2,xy12,trap9,VIP
195,VIP_Cd,EXP2,xy12,trap10,VIP
196,VIP_Cd,EXP2,xy13,trap1,VIP
197,VIP_Cd,EXP2,xy13,trap2,VIP
198,VIP_Cd,EXP2,xy13,trap3,VIP
199,VIP_Cd,EXP2,xy13,trap4,VIP
200,VIP_Cd,EXP2,xy13,trap5,CFP
201,VIP_Cd,EXP2,xy13,trap6,CFP
202,VIP_Cd,EXP2,xy13,trap7,VIP
203,VIP_Cd,EXP2,xy13,trap8,VIP
204,VIP_Cd,EXP2,xy13,trap9,CFP
205,VIP_Cd,EXP2,xy13,trap10,VIP
206,VIP_Cd,EXP2,xy14,trap1,VIP
207,VIP_Cd,EXP2,xy14,trap2,CFP
208,VIP_Cd,EXP2,xy14,trap3,VIP
209,VIP_Cd,EXP2,xy14,trap4,CFP
210,VIP_Cd,EXP2,xy14,trap5,VIP
211,VIP_Cd,EXP2,xy14,trap6,VIP
212,VIP_Cd,EXP2,xy14,trap7,VIP
213,VIP_Cd,EXP2,xy14,trap8,VIP
214,VIP_Cd,EXP2,xy14,trap9,VIP
215,VIP_Cd,EXP2,xy14,trap10,VIP
216,VIP_Cd,EXP2,xy14,trap11,VIP
217,VIP_Cd,EXP2,xy15,trap1,VIP
218,VIP_Cd,EXP2,xy15,trap2,VIP
219,VIP_Cd,EXP2,xy15,trap3,VIP
220,VIP_Cd,EXP2,xy15,trap4,VIP
221,VIP_Cd,EXP2,xy15,trap5,VIP
222,VIP_Cd,EXP2,xy15,trap6,VIP
223,VIP_Cd,EXP2,xy15,trap7,CFP
224,VIP_Cd,EXP2,xy15,trap8,VIP
225,VIP_Cd,EXP2,xy15,trap9,CFP
226,VIP_Cd,EXP2,xy15,trap10,VIP
227,VIP_Cd,EXP2,xy16,trap1,VIP
228,VIP_Cd,EXP2,xy16,trap2,VIP
229,VIP_Cd,EXP2,xy16,trap3,VIP
230,VIP_Cd,EXP2,xy16,trap4,VIP
231,VIP_Cd,EXP2,xy16,trap5,VIP
232,VIP_Cd,EXP2,xy16,trap6,VIP
233,VIP_Cd,EXP2,xy16,trap7,VIP
234,VIP_Cd,EXP2,xy17,trap1,VIP
235,VIP_Cd,EXP2,xy17,trap2,VIP
236,VIP_Cd,EXP2,xy18,trap1,VIP
237,VIP_Cd,EXP2,xy18,trap2,VIP
238,VIP_Cd,EXP2,xy18,trap3,VIP
239,VIP_Cd,EXP2,xy19,trap1,CFP
240,VIP_Cd,EXP2,xy19,trap2,CFP
241,VIP_Cd,EXP2,xy19,trap3,VIP
242,VIP_Cd,EXP2,xy20,trap1,VIP
243,VIP_Cd,EXP2,xy20,trap2,CFP
244,VIP_Cd,EXP2,xy20,trap3,CFP
245,VIP_Cd,EXP2,xy21,trap1,CFP
246,VIP_Cd,EXP2,xy21,trap2,CFP
247,VIP_Cd,EXP2,xy21,trap3,VIP
248,VIP_Cd,EXP2,xy21,trap4,VIP
249,VIP_Cd,EXP2,xy21,trap5,CFP
250,VIP_Cd,EXP2,xy22,trap1,VIP
251,VIP_Cd,EXP2,xy22,trap2,CFP
252,VIP_Cd,EXP2,xy22,trap3,VIP
253,VIP_Cd,EXP2,xy22,trap4,CFP
254,VIP_Cd,EXP2,xy22,trap5,VIP
255,VIP_Cd,EXP2,xy22,trap6,CFP
256,VIP_Cd,EXP2,xy22,trap7,VIP
257,VIP_Cd,EXP2,xy23,trap1,VIP
258,VIP_Cd,EXP2,xy23,trap2,VIP
259,VIP_Cd,EXP2,xy23,trap3,CFP
260,VIP_Cd,EXP2,xy23,trap4,VIP
261,VIP_Cd,EXP2,xy23,trap5,CFP
262,VIP_Cd,EXP2,xy23,trap6,CFP
263,VIP_Cd,EXP2,xy23,trap7,VIP
264,VIP_Cd,EXP2,xy23,trap8,CFP
265,VIP_Cd,EXP2,xy23,trap9,VIP
266,VIP_Cd,EXP2,xy24,trap1,VIP
267,VIP_Cd,EXP2,xy24,trap2,CFP
268,VIP_Cd,EXP2,xy24,trap3,CFP
269,VIP_Cd,EXP2,xy24,trap4,VIP
270,VIP_Cd,EXP2,xy25,trap1,CFP
271,VIP_Cd,EXP2,xy25,trap2,VIP
272,VIP_Cd,EXP2,xy25,trap3,VIP
273,VIP_Cd,EXP2,xy25,trap4,CFP
274,VIP_Cd,EXP2,xy25,trap5,CFP
275,VIP_Cd,EXP2,xy25,trap6,CFP
276,VIP_Cd,EXP2,xy25,trap7,VIP
277,VIP_Cd,EXP2,xy26,trap1,CFP
278,VIP_Cd,EXP2,xy26,trap2,CFP
279,VIP_Cd,EXP2,xy26,trap3,VIP
280,VIP_Cd,EXP2,xy26,trap4,VIP
281,VIP_Cd,EXP2,xy26,trap5,CFP
282,VIP_Cd,EXP2,xy27,trap1,VIP
283,VIP_Cd,EXP2,xy27,trap2,VIP
284,VIP_Cd,EXP2,xy27,trap3,VIP
285,VIP_Cd,EXP2,xy27,trap4,CFP
286,VIP_Cd,EXP2,xy28,trap1,VIP
287,VIP_Cd,EXP2,xy28,trap2,VIP
288,VIP_Cd,EXP2,xy28,trap3,VIP
289,VIP_Cd,EXP2,xy28,trap4,VIP
290,VIP_Cd,EXP3,xy01,trap1,CFP
291,VIP_Cd,EXP3,xy01,trap2,VIP
292,VIP_Cd,EXP3,xy01,trap3,VIP
293,VIP_Cd,EXP3,xy01,trap4,VIP
294,VIP_Cd,EXP3,xy01,trap5,VIP
295,VIP_Cd,EXP3,xy01,trap6,VIP
296,VIP_Cd,EXP3,xy01,trap7,VIP
297,VIP_Cd,EXP3,xy01,trap8,VIP
298,VIP_Cd,EXP3,xy01,trap9,VIP
299,VIP_Cd,EXP3,xy01,trap10,VIP
300,VIP_Cd,EXP3,xy01,trap11,VIP
301,VIP_Cd,EXP3,xy01,trap12,VIP
302,VIP_Cd,EXP3,xy01,trap13,VIP
303,VIP_Cd,EXP3,xy02,trap1,VIP
304,VIP_Cd,EXP3,xy02,trap2,VIP
305,VIP_Cd,EXP3,xy02,trap3,CFP
306,VIP_Cd,EXP3,xy02,trap4,CFP
307,VIP_Cd,EXP3,xy02,trap5,VIP
308,VIP_Cd,EXP3,xy02,trap6,CFP
309,VIP_Cd,EXP3,xy02,trap7,VIP
310,VIP_Cd,EXP3,xy02,trap8,VIP
311,VIP_Cd,EXP3,xy02,trap9,VIP
312,VIP_Cd,EXP3,xy02,trap10,VIP
313,VIP_Cd,EXP3,xy03,trap1,CFP
314,VIP_Cd,EXP3,xy03,trap2,CFP
315,VIP_Cd,EXP3,xy03,trap3,VIP
316,VIP_Cd,EXP3,xy03,trap4,VIP
317,VIP_Cd,EXP3,xy03,trap5,VIP
318,VIP_Cd,EXP3,xy03,trap6,VIP
319,VIP_Cd,EXP3,xy03,trap7,VIP
320,VIP_Cd,EXP3,xy03,trap8,VIP
321,VIP_Cd,EXP3,xy03,trap9,VIP
322,VIP_Cd,EXP3,xy04,trap1,VIP
323,VIP_Cd,EXP3,xy04,trap2,VIP
324,VIP_Cd,EXP3,xy04,trap3,VIP
325,VIP_Cd,EXP3,xy04,trap4,VIP
326,VIP_Cd,EXP3,xy04,trap5,VIP
327,VIP_Cd,EXP3,xy04,trap6,VIP
328,VIP_Cd,EXP3,xy04,trap7,CFP
329,VIP_Cd,EXP3,xy04,trap8,CFP
330,VIP_Cd,EXP3,xy04,trap9,VIP
331,VIP_Cd,EXP3,xy05,trap1,VIP
332,VIP_Cd,EXP3,xy05,trap2,VIP
333,VIP_Cd,EXP3,xy05,trap3,VIP
334,VIP_Cd,EXP3,xy05,trap4,VIP
335,VIP_Cd,EXP3,xy05,trap5,VIP
336,VIP_Cd,EXP3,xy05,trap6,VIP
337,VIP_Cd,EXP3,xy06,trap1,CFP
338,VIP_Cd,EXP3,xy06,trap2,VIP
339,VIP_Cd,EXP3,xy06,trap3,VIP
340,VIP_Cd,EXP3,xy06,trap4,VIP
341,VIP_Cd,EXP3,xy06,trap5,VIP
342,VIP_Cd,EXP3,xy06,trap6,CFP
343,VIP_Cd,EXP3,xy06,trap7,CFP
344,VIP_Cd,EXP3,xy06,trap8,VIP
345,VIP_Cd,EXP3,xy06,trap9,VIP
346,VIP_Cd,EXP3,xy06,trap10,CFP
347,VIP_Cd,EXP3,xy06,trap11,CFP
348,VIP_Cd,EXP3,xy06,trap12,VIP
349,VIP_Cd,EXP3,xy07,trap1,CFP
350,VIP_Cd,EXP3,xy07,trap2,CFP
351,VIP_Cd,EXP3,xy07,trap3,VIP
352,VIP_Cd,EXP3,xy07,trap4,CFP
353,VIP_Cd,EXP3,xy07,trap5,CFP
354,VIP_Cd,EXP3,xy07,trap6,VIP
355,VIP_Cd,EXP3,xy07,trap7,VIP
356,VIP_Cd,EXP3,xy07,trap8,VIP
357,VIP_Cd,EXP3,xy07,trap9,VIP
358,VIP_Cd,EXP3,xy07,trap10,CFP
359,VIP_Cd,EXP3,xy07,trap11,CFP
360,VIP_Cd,EXP3,xy07,trap12,VIP
361,VIP_Cd,EXP3,xy08,trap1,CFP
362,VIP_Cd,EXP3,xy08,trap2,CFP
363,VIP_Cd,EXP3,xy08,trap3,VIP
364,VIP_Cd,EXP3,xy08,trap4,CFP
365,VIP_Cd,EXP3,xy08,trap5,VIP
366,VIP_Cd,EXP3,xy08,trap6,VIP
367,VIP_Cd,EXP3,xy08,trap7,VIP
368,VIP_Cd,EXP3,xy08,trap8,VIP
369,VIP_Cd,EXP3,xy08,trap9,CFP
370,VIP_Cd,EXP3,xy08,trap10,CFP
371,VIP_Cd,EXP3,xy08,trap11,VIP
372,VIP_Cd,EXP3,xy08,trap12,CFP
373,VIP_Cd,EXP3,xy09,trap1,VIP
374,VIP_Cd,EXP3,xy09,trap2,CFP
375,VIP_Cd,EXP3,xy09,trap3,VIP
376,VIP_Cd,EXP3,xy09,trap4,VIP
377,VIP_Cd,EXP3,xy09,trap5,VIP
378,VIP_Cd,EXP3,xy09,trap6,VIP
379,VIP_Cd,EXP3,xy09,trap7,VIP
380,VIP_Cd,EXP3,xy09,trap8,CFP
381,VIP_Cd,EXP3,xy09,trap9,CFP
382,VIP_Cd,EXP3,xy09,trap10,CFP
383,VIP_Cd,EXP3,xy09,trap11,VIP
384,VIP_Cd,EXP3,xy09,trap12,VIP
385,VIP_Cd,EXP3,xy09,trap13,VIP
386,VIP_Cd,EXP3,xy10,trap1,CFP
