time,replicate,stress,dose,units,strain,OD_value
16,rep3,AMP,0,ug/mL,MC1061,0.551
16.33333333,rep1,AMP,0,ug/mL,MC1061,0.536
16.33333333,rep2,AMP,0,ug/mL,MC1061,0.547
16.33333333,rep3,AMP,0,ug/mL,MC1061,0.553
16.66666667,rep1,AMP,0,ug/mL,MC1061,0.536
16.66666667,rep2,AMP,0,ug/mL,MC1061,0.546
16.66666667,rep3,AMP,0,ug/mL,MC1061,0.556
17,rep1,AMP,0,ug/mL,MC1061,0.534
17,rep2,AMP,0,ug/mL,MC1061,0.544
17,rep3,AMP,0,ug/mL,MC1061,0.56
17.33333333,rep1,AMP,0,ug/mL,MC1061,0.534
17.33333333,rep2,AMP,0,ug/mL,MC1061,0.543
17.33333333,rep3,AMP,0,ug/mL,MC1061,0.562
17.66666667,rep1,AMP,0,ug/mL,MC1061,0.533
17.66666667,rep2,AMP,0,ug/mL,MC1061,0.542
17.66666667,rep3,AMP,0,ug/mL,MC1061,0.565
18,rep1,AMP,0,ug/mL,MC1061,0.532
18,rep2,AMP,0,ug/mL,MC1061,0.54
18,rep3,AMP,0,ug/mL,MC1061,0.569
18.33333333,rep1,AMP,0,ug/mL,MC1061,0.531
18.33333333,rep2,AMP,0,ug/mL,MC1061,0.539
18.33333333,rep3,AMP,0,ug/mL,MC1061,0.573
18.66666667,rep1,AMP,0,ug/mL,MC1061,0.529
18.66666667,rep2,AMP,0,ug/mL,MC1061,0.538
18.66666667,rep3,AMP,0,ug/mL,MC1061,0.576
19,rep1,AMP,0,ug/mL,MC1061,0.528
19,rep2,AMP,0,ug/mL,MC1061,0.537
19,rep3,AMP,0,ug/mL,MC1061,0.578
19.33333333,rep1,AMP,0,ug/mL,MC1061,0.526
19.33333333,rep2,AMP,0,ug/mL,MC1061,0.535
19.33333333,rep3,AMP,0,ug/mL,MC1061,0.58
19.66666667,rep1,AMP,0,ug/mL,MC1061,0.526
19.66666667,rep2,AMP,0,ug/mL,MC1061,0.534
19.66666667,rep3,AMP,0,ug/mL,MC1061,0.582
20,rep1,AMP,0,ug/mL,MC1061,0.524
20,rep2,AMP,0,ug/mL,MC1061,0.533
20,rep3,AMP,0,ug/mL,MC1061,0.583
0,rep1,Cd,0,mM,MC1061,0.085
0,rep2,Cd,0,mM,MC1061,0.085
0,rep3,Cd,0,mM,MC1061,0.083
0.3333333333,rep1,Cd,0,mM,MC1061,0.087
0.3333333333,rep2,Cd,0,mM,MC1061,0.087
0.3333333333,rep3,Cd,0,mM,MC1061,0.084
0.6666666667,rep1,Cd,0,mM,MC1061,0.093
0.6666666667,rep2,Cd,0,mM,MC1061,0.093
0.6666666667,rep3,Cd,0,mM,MC1061,0.09
1,rep1,Cd,0,mM,MC1061,0.099
1,rep2,Cd,0,mM,MC1061,0.101
1,rep3,Cd,0,mM,MC1061,0.092
1.333333333,rep1,Cd,0,mM,MC1061,0.12
1.333333333,rep2,Cd,0,mM,MC1061,0.125
1.333333333,rep3,Cd,0,mM,MC1061,0.11
1.666666667,rep1,Cd,0,mM,MC1061,0.168
1.666666667,rep2,Cd,0,mM,MC1061,0.185
1.666666667,rep3,Cd,0,mM,MC1061,0.145
2,rep1,Cd,0,mM,MC1061,0.25
2,rep2,Cd,0,mM,MC1061,0.266
2,rep3,Cd,0,mM,MC1061,0.234
2.333333333,rep1,Cd,0,mM,MC1061,0.36
