"SSC-A","label"
52016.69921875,"AMP"
61729.80078125,"AMP"
108505.203125,"AMP"
88266.6015625,"AMP"
136940.203125,"AMP"
105106.703125,"AMP"
78235.296875,"AMP"
60906.1015625,"AMP"
102906.5,"AMP"
13084.599609375,"AMP"
131820.203125,"AMP"
83711,"AMP"
134143.40625,"AMP"
134011.703125,"AMP"
126079.6015625,"AMP"
80270.6015625,"AMP"
154098.203125,"AMP"
95142.1015625,"AMP"
77110.1015625,"AMP"
95652.1015625,"AMP"
126786.203125,"AMP"
139077.203125,"AMP"
98906.6015625,"AMP"
106848.5,"AMP"
98269.8984375,"AMP"
93536.296875,"AMP"
118896.796875,"AMP"
66573.703125,"AMP"
106078.1015625,"AMP"
138322.203125,"AMP"
164242.09375,"AMP"
82314.296875,"AMP"
113794.203125,"AMP"
90918.6015625,"AMP"
99729.5,"AMP"
113094.6015625,"AMP"
116651.6015625,"AMP"
106307.1015625,"AMP"
84917.3984375,"AMP"
43381.69921875,"AMP"
114199.3984375,"AMP"
106359.296875,"AMP"
122429.203125,"AMP"
56917.69921875,"AMP"
153614.5,"AMP"
55742.6015625,"AMP"
99279.296875,"AMP"
82564.8984375,"AMP"
86865.296875,"AMP"
93844,"AMP"
147005,"AMP"
96744.703125,"AMP"
75211.5,"AMP"
106556.296875,"AMP"
31693.19921875,"AMP"
80550.5,"AMP"
86408.8984375,"AMP"
11050.7998046875,"AMP"
87107.3984375,"AMP"
81963.1015625,"AMP"
118814.203125,"AMP"
128048,"AMP"
95168.1015625,"AMP"
81313,"AMP"
101478,"AMP"
102539.8984375,"AMP"
42200.69921875,"AMP"
107794.296875,"AMP"
84186.203125,"AMP"
98557.6015625,"AMP"
89704.703125,"AMP"
11946.7001953125,"AMP"
107549.296875,"AMP"
147347.09375,"AMP"
69614.5,"AMP"
146632.09375,"AMP"
81046.703125,"AMP"
71308,"AMP"
99935.3984375,"AMP"
55018.19921875,"AMP"
18585.099609375,"AMP"
116534.1015625,"AMP"
66932.203125,"AMP"
125382.6015625,"AMP"
128326.1015625,"AMP"
112851.1015625,"AMP"
99130.203125,"AMP"
125834.203125,"AMP"
88793.6015625,"AMP"
129372.5,"AMP"
171657.90625,"AMP"
70806.796875,"AMP"
94542.796875,"AMP"
73066.703125,"AMP"
106914.6015625,"AMP"
109260.203125,"AMP"
83716.1015625,"AMP"
167008.296875,"AMP"
85692.203125,"AMP"
96414.1015625,"AMP"
104477.5,"AMP"
100742.703125,"AMP"
139510,"AMP"
167394.703125,"AMP"
59116.5,"AMP"
80137.3984375,"AMP"
73550.1015625,"AMP"
85925,"AMP"
8766.7998046875,"AMP"
102719.703125,"AMP"
190934,"AMP"
93440.8984375,"AMP"
160576.09375,"AMP"
125496.296875,"AMP"
66879.5,"AMP"
108470.703125,"AMP"
90838.3984375,"AMP"
44742.8984375,"AMP"
47892,"AMP"
98417.3984375,"AMP"
233283.90625,"AMP"
18755.5,"AMP"
101907.5,"AMP"
77384.8984375,"AMP"
72324.8984375,"AMP"
87100.703125,"AMP"
124394.5,"AMP"
84479.296875,"AMP"
103934.5,"AMP"
130179.1015625,"AMP"
32166.400390625,"AMP"
