propidium_iodide,cell_length,time,state,PI_classification,experiment
-0.1988774103,1232.932129,120,VIP205,alive,exp1
0.1508182461,1328.951538,120,VIP205,dead,exp1
0.199988235,1785.135132,120,VIP205,dead,exp1
-0.5258169256,1543.883057,120,VIP205,alive,exp1
-0.9547107254,1461.608887,120,VIP205,alive,exp1
-0.2399849905,994.6723633,120,VIP205,alive,exp1
-1.147047477,1713.163086,120,VIP205,alive,exp1
-1.482591248,4903.614258,120,VIP205,alive,exp1
-1.298692633,3029.75,120,VIP205,alive,exp1
-1.243287247,894.0628662,120,VIP205,alive,exp1
-0.1332740542,1241.68689,120,VIP205,alive,exp1
-0.7920567014,1633.729004,120,VIP205,alive,exp1
-0.137240293,1383.727417,120,VIP205,alive,exp1
-0.8886321329,1512.636108,120,VIP205,alive,exp1
-0.1950262438,951.1004639,120,VIP205,alive,exp1
-0.2063373884,1190.919434,120,VIP205,alive,exp1
-0.8967565965,1807.09375,120,VIP205,alive,exp1
-0.2019407005,1846.980591,120,VIP205,alive,exp1
0.004743638775,1114.405029,120,VIP205,dead,exp1
-1.069547437,1023.913086,120,VIP205,alive,exp1
-1.363219012,1142.023438,120,VIP205,alive,exp1
-1.815822455,929.8577881,120,VIP205,alive,exp1
-0.3735551515,1274.747681,120,VIP205,alive,exp1
-0.5106742716,982.8710938,120,VIP205,alive,exp1
-0.2614250643,1645.255005,120,VIP205,alive,exp1
-0.3002501223,1012.350464,120,VIP205,alive,exp1
-0.8374206931,1323.737305,120,VIP205,alive,exp1
0.0797625033,1637.356323,120,VIP205,dead,exp1
0.6254778762,1311.155396,120,VIP205,dead,exp1
-0.2092270682,1326.920532,120,VIP205,alive,exp1
-0.1958403652,1161.945923,120,VIP205,alive,exp1
-1.685210681,1165.338623,120,VIP205,alive,exp1
-3.075531546,2489.391602,120,VIP205,alive,exp1
0.004559390115,1379.462524,120,VIP205,dead,exp1
-1.544598792,889.7015991,120,VIP205,alive,exp1
-0.04385937391,1461.384521,120,VIP205,alive,exp1
-1.326369686,1086.075806,120,VIP205,alive,exp1
-0.02869434712,1766.918335,120,VIP205,alive,exp1
-0.2720645587,976.2165527,120,VIP205,alive,exp1
-0.5171902527,1873.647095,120,VIP205,alive,exp1
-1.774462431,859.9050293,120,VIP205,alive,exp1
-0.4336183082,960.508728,120,VIP205,alive,exp1
-0.4201209546,1800.367432,120,VIP205,alive,exp1
-0.2507666698,883.8825073,120,VIP205,alive,exp1
-0.1347246109,1634.349365,120,VIP205,alive,exp1
-0.8522213732,1146.178345,120,VIP205,alive,exp1
-3.537939283,1380.381958,120,VIP205,alive,exp1
-0.859273632,2122.847168,120,VIP205,alive,exp1
-1.540737335,2143.557373,120,VIP205,alive,exp1
0.1292943889,1366.38623,120,VIP205,dead,exp1
0.05354574407,1411.690796,120,VIP205,dead,exp1
0.1868568008,1116.581665,120,VIP205,dead,exp1
-0.3123282025,1141.897461,120,VIP205,alive,exp1
-0.3706263227,1120.914307,120,VIP205,alive,exp1
-1.821474815,3586.775391,120,VIP205,alive,exp1
-0.6607612352,1360.574585,120,VIP205,alive,exp1
-0.9659690879,1154.098389,120,VIP205,alive,exp1
-0.4396178431,1203.546509,120,VIP205,alive,exp1
-0.6308096834,1462.560303,120,VIP205,alive,exp1
-0.1485351764,1474.781738,120,VIP205,alive,exp1
0.09253520826,1238.169922,120,VIP205,dead,exp1
-0.207617807,1196.290649,120,VIP205,alive,exp1
-1.42036164,2656.730469,120,VIP205,alive,exp1
-0.1209607643,1010.287598,120,VIP205,alive,exp1
-1.031818087,1166.044556,120,VIP205,alive,exp1
-0.2258026888,990.6112061,120,VIP205,alive,exp1
-0.9977436522,6169.085449,120,VIP205,alive,exp1
-1.683211084,2025.74353,120,VIP205,alive,exp1
-0.8086036831,882.6915894,120,VIP205,alive,exp1
-0.3928856593,1098.444092,120,VIP205,alive,exp1
-0.2955923463,1237.541748,120,VIP205,alive,exp1
-0.4268063069,1353.236694,120,VIP205,alive,exp1
-0.3136309985,1010.778259,120,VIP205,alive,exp1
-0.8457236521,1422.957275,120,VIP205,alive,exp1
-0.76852663,1603.026001,120,VIP205,alive,exp1
0.009247142351,1136.182617,120,VIP205,dead,exp1
-0.4253841009,1306.98877,120,VIP205,alive,exp1
-2.764404121,1822.972778,120,VIP205,alive,exp1
-0.1945810029,1703.579346,120,VIP205,alive,exp1
0.08716456856,1127.889282,120,VIP205,dead,exp1
-0.5303254088,1713.100098,120,VIP205,alive,exp1
-0.585488678,1744.366333,120,VIP205,alive,exp1
-0.6230829955,1024.348877,120,VIP205,alive,exp1
-0.7115447877,1622.057495,120,VIP205,alive,exp1
-1.33816114,1058.411133,120,VIP205,alive,exp1
